#Distance	x(m)	y(m)	Elevation(m)
0	2597665.307	1197629.891	609.4249878
3.70234815	2597667.568	1197632.823	609.3839722
7.4046963	2597669.829	1197635.755	609.2080078
11.10704445	2597672.09	1197638.686	609.190979
14.8093926	2597674.351	1197641.618	609.0369873
18.51174075	2597676.611	1197644.55	609.1699829
22.2140889	2597678.872	1197647.482	608.960022
25.91643705	2597681.133	1197650.414	608.5540161
29.6187852	2597683.394	1197653.346	608.4920044
33.32113335	2597685.655	1197656.278	608.7559814
37.0234815	2597687.916	1197659.209	608.8129883
40.72582965	2597690.177	1197662.141	608.6829834
44.4281778	2597692.438	1197665.073	608.6829834
48.13052595	2597694.698	1197668.005	608.3389893
51.8328741	2597696.959	1197670.937	608.6500244
55.53522225	2597699.22	1197673.869	608.6129761
59.2375704	2597701.481	1197676.801	609.1370239
62.93991855	2597703.742	1197679.732	609.1459961
66.6422667	2597706.003	1197682.664	609.1589966
70.34461485	2597708.264	1197685.596	609.3540039
74.046963	2597710.525	1197688.528	610.5570068
77.74931115	2597712.785	1197691.46	610.7249756
81.4516593	2597715.046	1197694.392	610.8709717
85.15400745	2597717.307	1197697.324	611.0300293
88.8563556	2597719.568	1197700.256	611.4970093
92.55870375	2597721.829	1197703.187	611.7219849
96.2610519	2597724.09	1197706.119	611.7540283
99.96340005	2597726.351	1197709.051	611.875
103.6657482	2597728.612	1197711.983	611.8099976
107.3680964	2597730.872	1197714.915	612.3259888
111.0704445	2597733.133	1197717.847	612.9940186
114.7727927	2597735.394	1197720.779	612.8920288
118.4751408	2597737.655	1197723.71	614.4140015
122.177489	2597739.916	1197726.642	614.5460205
125.8798371	2597742.177	1197729.574	614.6920166
129.5821853	2597744.438	1197732.506	615.0869751
133.2845334	2597746.699	1197735.438	615.5239868
136.9868816	2597748.959	1197738.37	615.8430176
140.6892297	2597751.22	1197741.302	616.223999
144.3915779	2597753.481	1197744.234	616.5679932
148.093926	2597755.742	1197747.165	616.8499756
151.7962742	2597758.003	1197750.097	617.3150024
155.4986223	2597760.264	1197753.029	617.625
159.2009705	2597762.525	1197755.961	617.625
162.9033186	2597764.786	1197758.893	618.2000122
166.6056668	2597767.046	1197761.825	618.4639893
170.3080149	2597769.307	1197764.757	618.6729736
174.0103631	2597771.568	1197767.688	618.8499756
177.7127112	2597773.829	1197770.62	619.1170044
181.4150594	2597776.09	1197773.552	619.2059937
185.1174075	2597778.351	1197776.484	619.7960205
188.8197557	2597780.612	1197779.416	619.617981
192.5221038	2597782.873	1197782.348	619.6669922
196.224452	2597785.133	1197785.28	619.7329712
199.9268001	2597787.394	1197788.212	619.8709717
203.6291483	2597789.655	1197791.143	619.9370117
207.3314964	2597791.916	1197794.075	620.1459961
211.0338446	2597794.177	1197797.007	620.0819702
214.7361927	2597796.438	1197799.939	620.3649902
218.4385409	2597798.699	1197802.871	620.7630005
222.140889	2597800.96	1197805.803	620.7769775
225.8432372	2597803.22	1197808.735	620.7639771
229.5455853	2597805.481	1197811.666	620.7139893
233.2479335	2597807.742	1197814.598	620.9769897
236.9502816	2597810.003	1197817.53	621.0319824
240.6526298	2597812.264	1197820.462	621.2449951
244.3549779	2597814.525	1197823.394	621.25
248.0573261	2597816.786	1197826.326	621.5969849
251.7596742	2597819.047	1197829.258	621.4429932
255.4620224	2597821.307	1197832.189	621.2659912
259.1643705	2597823.568	1197835.121	621.0980225
262.8667187	2597825.829	1197838.053	620.9869995
266.5690668	2597828.09	1197840.985	620.8259888
270.271415	2597830.351	1197843.917	620.7689819
273.9737631	2597832.612	1197846.849	620.5689697
277.6761113	2597834.873	1197849.781	620.315979
281.3784594	2597837.134	1197852.713	619.8200073
285.0808076	2597839.394	1197855.644	619.8060303
288.7831557	2597841.655	1197858.576	619.5059814
292.4855039	2597843.916	1197861.508	619.2730103
296.187852	2597846.177	1197864.44	619.0209961
299.8902002	2597848.438	1197867.372	618.7659912
303.5925483	2597850.699	1197870.304	618.3989868
307.2948965	2597852.96	1197873.236	618.3099976
310.9972446	2597855.221	1197876.167	617.9359741
314.6995928	2597857.481	1197879.099	617.5880127
318.4019409	2597859.742	1197882.031	617.6719971
322.1042891	2597862.003	1197884.963	617.5109863
325.8066372	2597864.264	1197887.895	617.4810181
329.5089854	2597866.525	1197890.827	616.6589966
333.2113335	2597868.786	1197893.759	616.3369751
336.9136817	2597871.047	1197896.691	616.0050049
340.6160298	2597873.307	1197899.622	615.8889771
344.318378	2597875.568	1197902.554	615.8239746
348.0207261	2597877.829	1197905.486	615.3250122
351.7230743	2597880.09	1197908.418	615.2579956
355.4254224	2597882.351	1197911.35	615.1610107
359.1277706	2597884.612	1197914.282	614.9249878
362.8301187	2597886.873	1197917.214	614.7550049
366.5324669	2597889.134	1197920.145	614.473999
370.234815	2597891.394	1197923.077	614.3540039
373.9371632	2597893.655	1197926.009	614.0900269
377.6395113	2597895.916	1197928.941	613.8920288
381.3418595	2597898.177	1197931.873	613.5819702
385.0442076	2597900.438	1197934.805	613.0620117
