#Distance	x(m)	y(m)	Elevation(m)
0	2597665.307	1197629.891	578
12.63600051	2597673.023	1197639.897	586
25.27200102	2597680.74	1197649.904	589
37.90800154	2597688.456	1197659.91	588
50.54400205	2597696.172	1197669.916	589
63.18000256	2597703.889	1197679.923	589
75.81600307	2597711.605	1197689.929	586
88.45200359	2597719.321	1197699.935	583
101.0880041	2597727.037	1197709.942	582
113.7240046	2597734.754	1197719.948	581
126.3600051	2597742.47	1197729.954	580
138.9960056	2597750.186	1197739.961	577
151.6320061	2597757.903	1197749.967	574
164.2680067	2597765.619	1197759.974	572
176.9040072	2597773.335	1197769.98	569
189.5400077	2597781.052	1197779.986	567
202.1760082	2597788.768	1197789.993	563
214.8120087	2597796.484	1197799.999	560
227.4480092	2597804.2	1197810.005	557
240.0840097	2597811.917	1197820.012	556
252.7200102	2597819.633	1197830.018	555
265.3560108	2597827.349	1197840.024	554
277.9920113	2597835.066	1197850.031	554
290.6280118	2597842.782	1197860.037	553
303.2640123	2597850.498	1197870.044	553
315.9000128	2597858.214	1197880.05	552
328.5360133	2597865.931	1197890.056	552
341.1720138	2597873.647	1197900.063	551
353.8080143	2597881.363	1197910.069	551
366.4440149	2597889.08	1197920.075	550
379.0800154	2597896.796	1197930.082	550
391.7160159	2597904.512	1197940.088	550
404.3520164	2597912.228	1197950.094	550
416.9880169	2597919.945	1197960.101	550
429.6240174	2597927.661	1197970.107	550
442.2600179	2597935.377	1197980.114	550
454.8960184	2597943.094	1197990.12	550
467.532019	2597950.81	1198000.126	550
480.1680195	2597958.526	1198010.133	550
492.80402	2597966.243	1198020.139	550
505.4400205	2597973.959	1198030.145	549
518.076021	2597981.675	1198040.152	549
530.7120215	2597989.391	1198050.158	548
543.348022	2597997.108	1198060.164	548
555.9840225	2598004.824	1198070.171	547
568.6200231	2598012.54	1198080.177	546
581.2560236	2598020.257	1198090.184	545
593.8920241	2598027.973	1198100.19	544
606.5280246	2598035.689	1198110.196	543
619.1640251	2598043.405	1198120.203	541
631.8000256	2598051.122	1198130.209	540
644.4360261	2598058.838	1198140.215	540
657.0720266	2598066.554	1198150.222	537
669.7080271	2598074.271	1198160.228	535
682.3440277	2598081.987	1198170.235	532
694.9800282	2598089.703	1198180.241	532
707.6160287	2598097.419	1198190.247	530
720.2520292	2598105.136	1198200.254	528
732.8880297	2598112.852	1198210.26	526
745.5240302	2598120.568	1198220.266	525
758.1600307	2598128.285	1198230.273	525
770.7960312	2598136.001	1198240.279	523
783.4320318	2598143.717	1198250.285	522
796.0680323	2598151.434	1198260.292	520
808.7040328	2598159.15	1198270.298	520
821.3400333	2598166.866	1198280.305	517
833.9760338	2598174.582	1198290.311	514
846.6120343	2598182.299	1198300.317	511
859.2480348	2598190.015	1198310.324	508
871.8840353	2598197.731	1198320.33	507
884.5200359	2598205.448	1198330.336	505
897.1560364	2598213.164	1198340.343	502
909.7920369	2598220.88	1198350.349	500
922.4280374	2598228.596	1198360.355	499
935.0640379	2598236.313	1198370.362	496
947.7000384	2598244.029	1198380.368	494
960.3360389	2598251.745	1198390.375	492
972.9720394	2598259.462	1198400.381	491
985.60804	2598267.178	1198410.387	489
998.2440405	2598274.894	1198420.394	486
1010.880041	2598282.61	1198430.4	483
1023.516041	2598290.327	1198440.406	479
1036.152042	2598298.043	1198450.413	478
1048.788043	2598305.759	1198460.419	473
1061.424043	2598313.476	1198470.425	470
1074.060044	2598321.192	1198480.432	467
1086.696044	2598328.908	1198490.438	466
1099.332045	2598336.625	1198500.445	464
1111.968045	2598344.341	1198510.451	463
